Aalborg University,"기본 계약은 방학까지 사용 가능하며, 청소를 제대로 하지 않거나 고장있는 것을 그대로 두면 보증금이 깎인다. IAO는 학생들의 숙박시설을 책임지지만, 학생들은 직접 계약을 맺고 집을 구할 수도 있다. 숙소 형태가 다양하여 비용도 40-70만원까지 차이가 있다. 교환이 종료될 때는 떠날 때의 청결 상태와 물건 상태가 좋아야 보증금이 돌려받을 수 있다. IAO에서는 방을 랜덤으로 배정하므로 신청할 때 구체적으로 요구하는 것이 좋다."
American University,"미국 대학 기숙사에 대한 사용 시 주의사항으로는 방 열쇠 분실 시 추가 비용 지불, 룸메이트와 해결할 수 없는 문제 발생 시 RA에게 도움 요청, 음주 금지 등이 있으며, 추천 숙박시설로는 학교 근처 아파트와 버크샤이어, 아발론, 그린브라이어 등이 있다. 기숙사 내부 시설로는 공용 화장실, 부엌이 있다. 카펫으로 덮인 바닥이나 높은 침대 등 불편한 점이 있을 수 있으므로 첫 학기는 기숙사에서 생활하고 그 이후에는 아파트를 찾는 것을 추천한다."
"American University (2017-2: WSP, 2018-1: AU Abroad)","내부 기숙사는 식사계획을 포함하고 공용 화장실과 부엌이 있으며, 반면 Berkshire는 교외에 위치하므로 더 자유롭지만 매년 가격 변경 사항을 확인해야합니다."
American University (WSP),"기숙사는 깨끗하고 편리하지만 금주 및 금연이며, 학기가 끝나고 더 머무르고 싶을 경우 미리 머물 곳을 정해야 한다. 아파트나 기숙사 외 숙박시설의 경우도 있으며, 옵션과 가격이 다양하다. 숙박 시, 학교의 금주 및 금연 정책 유의할 것을 권장한다. Wish House와 같은 학교가 운영하는 Off-campus 숙소도 있다."
Aoyama Gakuin University,"교환학생들은 학교의 기숙사에서 생활할 수 있으며, 주의할 점은 기숙사가 멀리 위치하고 기숙사 주변 시설이 제한적이기 때문에 추천하지 않는다는 것이다. 그러나 처음 일본에서 생활하는 사람이라면 기숙사 생활을 추천하며, 기숙사 주변에는 여러 가지 숙박 시설도 있다는 것이다."
Arizona State University,"교환학생들은 기숙사에서 생활하면 다른 교환학생이나 일반 학생들과 친해질 수 있으며, 이벤트에 참여하여 더욱 쉽게 사회생활을 즐길 수 있다. 하지만 기숙사는 오래된 것이 많아 시설이 불편할 수 있으며, 방 할당이 불규칙적일 수 있다. 기숙사 외에는 캠퍼스 근처에 위치한 아파트나 하숙도 가능하다. 이때 중요한 점은 스캠에 대한 주의와 미리 문의하는 것이 좋다."
Arkansas State University,"학교 기숙사를 사용할 때에는 추가 비용이 발생하며, 훼손하지 않으면 큰 문제는 없다. Collegiate Park가 가장 좋은 선택지이며, 다른 곳으로 이동하려면 체크아웃을 제때 해야한다. 학교 기숙사보다 훨씬 저렴한 아파트도 있으므로 추천할 만하다."
Aston University,"교환학생들은 대부분 학교 기숙사 중 Mary Sturge, James Watt를 이용하거나 사설 기숙사를 이용하며, 괜찮은 곳을 찾기 위해서는 가격, 편의시설, 청결도, 치안 등을 잘 고려해야 하고, 계약 내용은 꼼꼼히 확인하도록 추천한다. 학교까지는 15분 거리이다."
Audencia Business School,CAF 신청해서 주택보조금 받기 (월 330유로 중 보조금 100유로). Crous 공공 기숙사 어려워서 여러 사이트 이용해서 집 구해야 함
Audencia Nantes School of Management,"서로 인접한 위치에 오덴시아, 낭트 국립대, 에콜 센트랄 세 대학교가 있고, 기숙사는 에콜 센트랄 학사/석사생들이 많이 사는 사립 기숙사라 개인 신청은 어렵다. 낭트에 있는 한국 분의 연락처를 중개인으로 구해서 기숙사를 구했다. CAF 신청을 미리 준비해야 한다."
