Aalborg University,11200 DKK
American University,2008 USD
"American University (2017-2: WSP, 2018-1: AU Abroad)",6800 USD
American University (WSP),4783 USD
Aoyama Gakuin University,
Arizona State University,4863 USD
Arkansas State University,
Aston University,1057 GBP
Audencia Business School,250 EUR
Audencia Nantes School of Management,362 EUR
Australia National University,4480 AUD
Australian National University,7000 AUD
Autonomous University of Barcelona,366 EUR
Autonomous University of Madrid,535 EUR
BEM Management School,1375 EUR
Beijing Institute of Technology,
Beijing Normal University,127 USD
Berlin School of Economics,
Berlin School of Economics and Law,361 EUR
Berlin School of Economics and Law Schoneberg Campus,
Berlin University of Applied Sciences and Technology,327 EUR
Birmingham City University,2693 USD
Boise State University,2993 USD
Bordeaux ecole de management(현 Kedge business school),360 EUR
Bosphorus University,2250 EUR
CBS International Business School,2417 EUR
CLARKSON UNIVERSITY,4162 USD
Ca' Foscari University of Venice,840 EUR
California State University San Marcos,3750 USD
"California State University, Long Beach",
Catholic University of Lille,464 EUR
Catholic University of the Sacred Heart,719 EUR
Charles University,6587 CZK
Chemnitz University of Technology,179 EUR
Chiba University,105000 JPY
Chinese University of Hong Kong,6561 HKD
Chuo University,54000 JPY
City University of Hong Kong,7192 HKD
Clarkson Univeristy,4200 USD
Clarkson University,4591 USD
College of Charleston,5700 USD
Columbia University,
Copenhagen Business Academy,5500 DKK
Copenhagen University College of Engineering,
Czech Technical University in Prague,3085 CKZ
Daito Bunka University,42500 JPY
ECOLE SUPERIEUR DE COMMERCE INTERNATIONAL DE PAS DE CALAIS,
EDHEC Business School,2600 EUR
EPF School of Engineering,325 EUR
ESADE Business School,670 EUR
Ecole de Management Leonard De Vinci,450 EUR
Edith Cowan University,
Elon University,4500 USD
Emlyon Business School,2000 USD
Engineering College of Copenhagen,
Enhancing Science Courses by Integrating Python,318 EUR
Erasmus University Rotterdam,2315 EUR
European University of Madrid,734 EUR
FH Campus Wien,
FH Kufstein,292 EUR
FHWien of WKW,301 EUR
Fachhochschule Worms University of Applied Sciences,300 EUR
"Faculty of Economics and Business, University of Zagreb",375 EUR
Fairleigh Dickinson University,1001 CAD
Fairleigh Dickinson University (Vancouver Campus),1800 CAD
Florida Gulf Coast University,
Florida International University,4050 USD
Florida State University,3375 USD
Fontys University of Applied Sciences,1200 EUR
Fontys University of Applied Sciences (Eindhoven),406 EUR
Fontys University of Applied Sciences (Tilburg),385 EUR
Fontys University of Applied Sciences (Venlo),460 EUR
Fontys university of applied science,400 EUR
Frankfurt School of Finance & Management,2045 EUR
Frankfurt University of Applied Sciences,200 EUR
Frankfurt school of finance & management,450 EUR
Fudan University,6600 CNY
Fulda University of Applied Sciences,355 EUR
Furtwangen University,1061 EUR
George Washington University,
Grenoble Alpes University,410 EUR
HEC Montreal,1736 CAD
HU University of Applied Sciences Utrecht,481 EUR
Haaga-Helia University of Applied Sciences,413 EUR
HafenCity University Hamburg,335 EUR
Hague University of Applied Sciences,
Halmstad University,3042 SEK
Hanze University of Applied Sciences,445 EUR
Hawaii Pacific Univeristy,400 USD
Hawaii Pacific University,1252 USD
Heidelberg University,627 EUR
Higher School of Economics,1636 RUB
Higher Technical School of Architecture of Madrid,324 EUR
Hitotsubashi University,145578 JPY
Hochschule Furtwangen University,272 EUR
Hochschule Osnabrueck,212 EUR
Hof University,277 EUR
Hokkaido University,67850 JPY
Hong Kong Baptist University,9000 HKD
Hong Kong University of Science and Technology,7638 HKD
Hongkong University of Science and Technology(HKUST),10000 HKD
Huazhong University of Science and Technology,1200 CNY
ICHEC Brussels Management School,311 EUR
ICN Business School,
IE University,655 EUR
IESEG School of Management,965 EUR
INSEEC (ECE LYON),356 EUR
INSEEC BUSINESS SCHOOL,600 EUR
INSEEC Business School,1958 EUR
INSEEC Business School (Bordeaux),1750 EUR
INSEEC Business School (Paris),720 EUR
ISCID-CO,
Indiana University,4847 USD
Indiana University Bloomington,4081 USD
"Indiana University, Kelley School of Business",4325 USD
Inholland University applied science,375 EUR
Inholland University of Applied Sciences,397 EUR
Institut national des langues et civilisations orientales,2650 EUR
Institut superieur du commerce de Paris,5750 EUR
Irkutsk National Research Technical University,5412 RUB
Jean Moulin University Lyon 3,781 EUR
Jilin University,
KEDGE Business School,450 EUR
KIMEP,
Kajaani University of Applied Sciences,325 EUR
Katholieke Universiteit Leuven,575 EUR
King's University College (University of Western Ontario),4944 CAD
Kingston University,92 GBP
King’s College London,605 GBP
Kobe University,
Kyushu University,31500 JPY
LUT University,300 EUR
La Rochelle University,598 EUR
Lanzhou University,600 CNY
Lappeenranta Univeristy of Technology,349 EUR
