Aalborg University,"스웨덴 대사관이나 노르웨이 비자 센터를 통해 덴마크 비자를 신청할 수 있으며, 필요한 서류를 준비하고 수수료를 납부해야 한다. 신청하는 시기에 따라 소요기간이 다르며, 빠른 신청이 좋다. 비자 비용은 32~40만원이며, 준비해야 할 서류는 비자, 신청서, 증명사진, 어드미션 등이다."
American University,"학생비자는 대사관을 통해 발급하며, 인터뷰 예약에서 인터뷰까지 약 1주일, 발급까지 약 2주가 소요된다. SEVIS 비용과 Visa Service Fee 등 납부해야 할 비용이 있으며, 대사관에서는 학생의 전공, 체류 계획 등을 간단히 물어보는 인터뷰를 진행한다. J-1 비자 신청 방법은 교환학생을 위한 DS-2019 서류를 받아야하며, SEVIS fee 대금을 납부한 후 미국 대사관에서 온라인 면접을 예약하고 인터뷰를 통해 발급받는다. 미리 서류를 잘 준비해서 대사관 방문할 때 휴대폰은 지양하는 것이 좋다."
"American University (2017-2: WSP, 2018-1: AU Abroad)","간단히 말해서, 비자 신청 및 인터뷰 비용이 들며 DS-2019를 지참하여 빨리 인터뷰 일정을 예약해야 한다. 그러나 비자가 거부될 경우 일정 재조정이 필요하다."
American University (WSP),"교환학생들이 주한미국대사관을 방문하여 비자 발급을 받는 것은 일반적이다. 발급을 위해 필요한 서류는 재학 증명서, 토플 성적표, 입학허가서, DS-2019, SEVIS Fee 영수증 등이며, 비자 인터뷰는 예약이 필요하다. 교환학생의 경우 큰 어려움 없이 인터뷰를 마칠 수 있다. 인터뷰에서 떨어지는 경우도 있지만, 서류를 잘 준비하면 큰 문제 없이 발급받을 수 있다. 대기 줄이 길어 오전 12시 쯤인 마감시간 이전에 신청하면 예약 시간보다 늦어도 입장을 시켜주기 때문에 일찍 가시는 것을 추천한다. 네이버에 자세한 정보가 있다."
Aoyama Gakuin University,"일본 유학 비자 발급에 필요한 재류자격증명서를 얻기 위해 일본 영사관에 방문하는 것이 필요하며, 필요한 서류는 여권, 신분증 사본, 사진, 재류인정증명서 등이 있다. 발급 기간은 1~2일이 소요되며, 비용은 들지 않는다."
Arizona State University,"미국 비자 발급 절차에는 대사관 방문 후 인터뷰와 서류 제출이 필요하며, 코로나19로 인해 면접 절차가 생략된 경우도 있습니다. 필요한 서류는 대사관과 블로그에서 확인 가능하며, 비자 인터뷰 예약이 촉박할 수 있으므로 미리 확인해두는 것이 좋습니다. DS-2019 서류와 SEVIS FEE 납부 후 DS-160 작성과 인터뷰 예약을 거쳐 비자를 받을 수 있으며, 대사관 위치는 주한미국대사관과 광화문 쪽에 있습니다. 마지막으로, 독일 미국 대사관에서 비자 발급을 받은 경험도 언급되었습니다."
Arkansas State University,"여행사가 대행업체를 통해 인터뷰 예약만 하고, 나머지 서류는 직접 준비했다."
Aston University,영국에서 6개월 이내로 공부할 경우 비자 신청은 필요 없으며 Acceptance Letter를 제출해 입국 심사대에서 6개월 체류 허가 스탬프를 받을 수 있다. Invitation Letter도 제출 가능하다.
Audencia Business School,"Campus France 온라인 신청이나 면접을 통해 프랑스 유학을 준비할 수 있으며, 주한 프랑스 대사관 방문은 예약이 어려우므로 최대한 빨리 신청하고 구비 서류를 꼼꼼하게 챙겨야 함. 대사관은 서울특별시 중구에 위치해 있음."
Audencia Nantes School of Management,"프랑스 학생 비자 신청을 위해서는 많은 서류와 준비과정이 필요하며, 거주증명서를 제출해야 하지만 기숙사를 구하지 못한 경우에는 예약 후 취소하는 방법을 이용할 수 있다. 또 일반 비자와 학생 비자를 구별하여 신청해야 하며, 구비 서류는 블로그나 대사관 홈페이지를 통해 자세히 확인할 수 있다."
