Aalborg University,
American University,
"American University (2017-2: WSP, 2018-1: AU Abroad)",J1
American University (WSP),
Aoyama Gakuin University,
Arizona State University,
Arkansas State University,
Aston University,x
Audencia Business School,Student
Audencia Nantes School of Management,학생비자
Australia National University,Subclass 500
Australian National University,학생비자
Autonomous University of Barcelona,D
Autonomous University of Madrid,학생 장기비자(6개월) Student Visa SSU
BEM Management School,
Beijing Institute of Technology,
Beijing Normal University,X1
Berlin School of Economics,
Berlin School of Economics and Law,학생비자
Berlin School of Economics and Law Schoneberg Campus,
Berlin University of Applied Sciences and Technology,
Birmingham City University,Short term student visa
Boise State University,
Bordeaux ecole de management(현 Kedge business school),학생비자
Bosphorus University,무비자입국
CBS International Business School,학생 비자
CLARKSON UNIVERSITY,J1
Ca' Foscari University of Venice,Student Visa
California State University San Marcos,
"California State University, Long Beach",F1
Catholic University of Lille,학생비자
Catholic University of the Sacred Heart,학생비자
Charles University,
Chemnitz University of Technology,학생 비자
Chiba University,J1
Chinese University of Hong Kong,
Chuo University,
City University of Hong Kong,
Clarkson Univeristy,J1
Clarkson University,F1
College of Charleston,J1
Columbia University,F1
Copenhagen Business Academy,Residence permit
Copenhagen University College of Engineering,
Czech Technical University in Prague,장기 학생비자
Daito Bunka University,
ECOLE SUPERIEUR DE COMMERCE INTERNATIONAL DE PAS DE CALAIS,
EDHEC Business School,학생비자
EPF School of Engineering,학생비자
ESADE Business School,단기학생비자
Ecole de Management Leonard De Vinci,학생 비자
Edith Cowan University,
Elon University,
Emlyon Business School,Student Visa
Engineering College of Copenhagen,
Enhancing Science Courses by Integrating Python,
Erasmus University Rotterdam,Residence Permit
European University of Madrid,D
FH Campus Wien,
FH Kufstein,
FHWien of WKW,체류허가
Fachhochschule Worms University of Applied Sciences,학생비자
"Faculty of Economics and Business, University of Zagreb",임시거주증
Fairleigh Dickinson University,관광비자
Fairleigh Dickinson University (Vancouver Campus),
Florida Gulf Coast University,J1
Florida International University,J1
Florida State University,
Fontys University of Applied Sciences,거주허가증(Resident permit)
Fontys University of Applied Sciences (Eindhoven),거주허가증으로 대체
Fontys University of Applied Sciences (Tilburg),학생비자
Fontys University of Applied Sciences (Venlo),거주허가증
Fontys university of applied science,J1
Frankfurt School of Finance & Management,STUDENT VISA
Frankfurt University of Applied Sciences,
Frankfurt school of finance & management,student visa
Fudan University,
Fulda University of Applied Sciences,
Furtwangen University,
George Washington University,
Grenoble Alpes University,
HEC Montreal,ETA
HU University of Applied Sciences Utrecht,
Haaga-Helia University of Applied Sciences,
HafenCity University Hamburg,학생비자
Hague University of Applied Sciences,
Halmstad University,J1
Hanze University of Applied Sciences,
Hawaii Pacific Univeristy,
Hawaii Pacific University,J1
Heidelberg University,
Higher School of Economics,J1
Higher Technical School of Architecture of Madrid,
Hitotsubashi University,유학
Hochschule Furtwangen University,
Hochschule Osnabrueck,학생비자
Hof University,학생비자
Hokkaido University,유학
Hong Kong Baptist University,학생비자
Hong Kong University of Science and Technology,
Hongkong University of Science and Technology(HKUST),학생비자
Huazhong University of Science and Technology,X2
ICHEC Brussels Management School,J1
ICN Business School,학생비자(6개월)
IE University,J1
IESEG School of Management,student
INSEEC (ECE LYON),학생비자
INSEEC BUSINESS SCHOOL,학생비자
INSEEC Business School,학생비자
INSEEC Business School (Bordeaux),학생 비자
INSEEC Business School (Paris),학생비자
ISCID-CO,학생비자
Indiana University,J1
Indiana University Bloomington,J1
"Indiana University, Kelley School of Business",J1
Inholland University applied science,
Inholland University of Applied Sciences,
Institut national des langues et civilisations orientales,학생비자
Institut superieur du commerce de Paris,학생비자
Irkutsk National Research Technical University,학생비자
Jean Moulin University Lyon 3,
Jilin University,
KEDGE Business School,학생비자
KIMEP,
Kajaani University of Applied Sciences,
Katholieke Universiteit Leuven,학생 비자 
King's University College (University of Western Ontario),
Kingston University,
King’s College London,SVV(Student Visitor)
Kobe University,
Kyushu University,
LUT University,
La Rochelle University,
Lanzhou University,"6개월 미만일 경우 x2, 6개월 이상일 경우 x1(거주증필요)"
Lappeenranta Univeristy of Technology,Residence permit
Leiden University,학생비자
Leonardo da Vinci University Center,
Leuphana Universitaet Lueneburg,학생비자
Leuphana University,학생비자
Leuphana University of Luneburg,유학생 비자
Lille Catholic University,학생비자
Lille Catholic University ( I?SEG ),
Linkoping University,거주허가증
Linnaeus University,거주허가증
London College of Fashion,short term student visa
Lucerne University of Applied Sciences and Arts,학생비자
MCI Management Center Innsbruck,학생비자
MONTANA STATE UNIVERSITY,
MOSCOW NATIONAL COLLEDGE RUSSIAN LANQUAGE,J1
Maastricht University,
Mainz University of Applied Sciences,학생비자
Mainz university of Applied science(Hochschule Mainz),학생비자(1학기)
Major University,학생 비자
Masaryk University,
Masaryk university,longterm-visa
Memorial University of Newfoundland,eTA
